Respondent,InterviewDuration,RandVar,S1,Q01,Q02,Q03,Q04,Q05,Q06Num,Q07Num,Q06,Q06a,Q06b,Q06b_TXT,Q06c,Q07,Q07a,Q07bNum,Q07cNum,Q07b,Q07c,Q07d,Q07d_TXT,Q08,Q08b,Q08b_TXT,Q09Var,Q09varA,Q09varB,Q09varC,Q10Var,Q10varA,Q10varB,Q10varC,Q11Var,Q11varA,Q11varB,Q11varC,Q12Var,Q12varA,Q12varB,Q12varC,Q09,Q10,Q11,Q12,Q12b,Q13,Q14,Q15,Q16,Q17_1,Q17_2,Q17_3,Q17_4,Q17_80,Q17_TXT,Q18,Q19,Q20,Q21,Q22,Q23,Q24a,Q24,Q25,Q26,Q26_TXT
438,316,1,Yes,Male,40-55,50+ miles,01-Feb,No knowledge,20,80,Yes,Very sure,,,Question skipped,Yes,Quite sure,160,,No,Question skipped,,,Option A,Chosen,Don't know,1,50%,40%,£5,4,5%,10%,£1,2,5%,10%,£1,2,50%,10%,£2.50,Option A,Option A,Option A,Option A,Quite sure,3,4,4,Some of it,Not chosen,Chosen,Not chosen,Not chosen,Not chosen,,No,Average knowledge,No,2,GCSE’s / O levels,Full-time employment,Yes,£2001-£2500,6,Chosen,No further comments
439,795,2,Yes,Female,40-55,0-2 miles,6+,Good knowledge,90,40,No,Very sure,,the water bill is already high. 90 pounds from every household seems a lot - I would be willing to pay half,Very sure,Yes,Very sure,80,,Yes,Question skipped,,,Option A,,"Because there is no change in the microparticle release %, yet a reduction in performance and an increase in price",1,50%,40%,£5,3,5%,40%,£0.50,3,10%,90%,£5,3,10%,40%,£1,Option B,Option B,Option B,Option B,Very sure,4,4,2,Some of it,Chosen,Chosen,Chosen,Not chosen,Not chosen,,Yes,Strong knowledge,Yes,4,Postgraduate degree,"Not in education, employment or training",No,Prefer not to say,9,,thought-provoking survey - didn't know microplastics are in toothpastes etc - will now look into this and see if I need to switch brands.....
440,671,2,Yes,Female,56-70,50+ miles,01-Feb,Average knowledge,20,80,Yes,Very sure,,,Question skipped,No,Very sure,,40,Question skipped,Yes,,,Option A,,cost,3,5%,10%,£5,3,5%,40%,£0.50,1,5%,90%,£2.50,3,10%,40%,£1,Option B,Option B,Option B,Option B,Very sure,5 – Completely agree,5 – Completely agree,5 – Completely agree,Some of it,Chosen,Chosen,Chosen,Chosen,Not chosen,,No,Strong knowledge,Yes,4,Bachelor’s degree,Retired,No,£1501-£2000,10 - Perfectly clear,Chosen,No further comments
441,677,2,Yes,Male,40-55,21-49 miles,01-Feb,Average knowledge,60,5,Yes,Very sure,,,Question skipped,Yes,Very sure,10,,Yes,Question skipped,,,Option A,,"performance stays the same, not much difference to now.  no reduction in microplastics in either option",2,50%,90%,£1,3,5%,40%,£0.50,2,5%,10%,£1,4,5%,10%,£5,Option B,Option B,Option B,Option A,Very sure,4,4,4,All of it,Chosen,Not chosen,Chosen,Not chosen,Not chosen,,Yes,Good knowledge,Yes,5 – Very confident,Postgraduate degree,Part-time employment,No,£2501-£3000,10 - Perfectly clear,Chosen,No further comments
442,640,1,Yes,Female,40-55,Don’t know,01-Feb,No knowledge,80,100,No,Very sure,,CANT AFFORD IT ONLY ONE WAGE COMING IN,Very sure,No,Very sure,,50,Question skipped,No,,CANT AFFORD TO PAY ANY MORE ONLY ONE WAGE COMING I,Option A,,THE PRICE,1,50%,40%,£5,2,5%,40%,£2.50,2,5%,10%,£1,2,50%,10%,£2.50,Option A,Option A,Option A,Option A,Very sure,1 – Completely disagree,1 – Completely disagree,2,All of it,Chosen,Not chosen,Not chosen,Not chosen,Not chosen,,No,No knowledge,Don’t know,3,GCSE’s / O levels,"Not in education, employment or training",Yes,£1001-£1500,9,Chosen,No further comments
443,1041,2,Yes,Female,26-39,11-20 miles,01-Feb,Average knowledge,5,20,Yes,Quite sure,,,Question skipped,Yes,Very sure,40,,Yes,Question skipped,,,Option A,,"It would be a better option to put the product in another package, other than plastic.",2,50%,90%,£1,1,10%,10%,£0.50,3,10%,90%,£5,3,10%,40%,£1,Option B,Option B,Option B,Option B,Very sure,3,4,4,None of it,Chosen,Not chosen,Not chosen,Not chosen,Not chosen,,No,Average knowledge,Yes,4,Bachelor’s degree,Full-time employment,No,£1501-£2000,10 - Perfectly clear,Chosen,No further comments
445,509,1,Yes,Female,26-39,21-49 miles,01-Feb,Good knowledge,5,20,Yes,Very sure,,,Question skipped,Yes,Very sure,40,,Yes,Question skipped,,,Option A,,It doesn't reduce microplastics but is more expensive,1,50%,40%,£5,3,5%,40%,£0.50,2,5%,10%,£1,2,50%,10%,£2.50,Option A,Option B,Option B,Option A,Quite sure,5 – Completely agree,5 – Completely agree,5 – Completely agree,All of it,Chosen,Chosen,Chosen,Chosen,Not chosen,,No,Good knowledge,Yes,4,Bachelor’s degree,Full-time employment,Yes,£1501-£2000,10 - Perfectly clear,Chosen,No further comments
447,548,2,Yes,Male,40-55,50+ miles,01-Feb,No knowledge,80,90,Yes,Quite sure,,,Question skipped,Yes,Quite sure,180,,No,Question skipped,,,Option B,,Anything to help the environment.,4,10%,10%,£2.50,1,10%,10%,£0.50,2,5%,10%,£1,1,50%,10%,£0.50,Option B,Option B,Option B,Option B,Very sure,3,2,3,Some of it,Chosen,Not chosen,Not chosen,Not chosen,Not chosen,,No,Good knowledge,Don’t know,5 – Very confident,GCSE’s / O levels,Full-time employment,Yes,£4001-£5000,10 - Perfectly clear,Chosen,No further comments
449,297,1,Yes,Female,18-25,Don’t know,01-Feb,No knowledge,10,10,Yes,Quite sure,,,Question skipped,Yes,Quite sure,20,,No,Question skipped,,,Option B,Chosen,Don't know,2,50%,90%,£1,3,5%,40%,£0.50,2,5%,10%,£1,2,50%,10%,£2.50,Option B,Option B,Option B,Option B,Quite sure,2,3,3,None of it,Chosen,Chosen,Not chosen,Chosen,Not chosen,,Prefer not to say,Little knowledge,Don’t know,3,GCSE’s / O levels,Full-time employment,Yes,£1501-£2000,7,Not chosen,
450,498,2,Yes,Male,40-55,Don’t know,0,No knowledge,60,10,No,Quite sure,,I do not earn enough,Quite sure,Yes,Very sure,20,,Yes,Question skipped,,,Option A,Chosen,Don't know,1,50%,40%,£5,4,5%,10%,£1,2,5%,10%,£1,4,5%,10%,£5,Option B,Option B,Option B,Option B,Quite sure,5 – Completely agree,5 – Completely agree,5 – Completely agree,Some of it,Chosen,Not chosen,Chosen,Not chosen,Not chosen,,Yes,Average knowledge,Don’t know,3,A level or college equivalent,Full-time employment,No,£1001-£1500,8,Chosen,No further comments
451,360,1,Yes,Male,40-55,3-10 miles,03-May,Average knowledge,90,90,Yes,Quite sure,,,Question skipped,Yes,Quite sure,180,,No,Question skipped,,,Option A,Chosen,Don't know,1,50%,40%,£5,4,5%,10%,£1,2,5%,10%,£1,3,10%,40%,£1,Option B,Option B,Option A,Option B,Quite sure,2,2,4,All of it,Chosen,Chosen,Chosen,Not chosen,Not chosen,,No,Little knowledge,Don’t know,3,Postgraduate degree,Full-time employment,Yes,£4001-£5000,7,Chosen,No further comments
452,820,1,Yes,Male,40-55,50+ miles,0,Good knowledge,10,90,Yes,Quite sure,,,Question skipped,No,Unsure,,45,Question skipped,No,,that seems rather high considering how many people who would be contributing,Option A,,there is always an alternative,3,5%,10%,£5,2,5%,40%,£2.50,4,5%,90%,£0.50,2,50%,10%,£2.50,Option A,Option B,Option B,Option B,Quite sure,5 – Completely agree,5 – Completely agree,5 – Completely agree,Some of it,Chosen,Not chosen,Chosen,Not chosen,Not chosen,,No,Good knowledge,Yes,4,A level or college equivalent,Full-time employment,Yes,Prefer not to say,9,,since water providers charge households separately for their services they should be investing a portion of those profits in better filtration instead of making the public pay more
453,425,2,Yes,Female,18-25,Don’t know,01-Feb,Little knowledge,80,40,Yes,Quite sure,,,Question skipped,Yes,Very sure,80,,Yes,Question skipped,,,Option B,Chosen,Don't know,4,10%,10%,£2.50,2,5%,40%,£2.50,3,10%,90%,£5,4,5%,10%,£5,Option B,Option A,Option B,Option A,Quite sure,3,5 – Completely agree,5 – Completely agree,None of it,Chosen,Chosen,Chosen,Chosen,Not chosen,,No,Little knowledge,Yes,5 – Very confident,Prefer not to say,Prefer not to say,Yes,£501-£1000,5,Chosen,No further comments
455,1165,2,Yes,Female,56-70,21-49 miles,6+,Average knowledge,60,10,No,Very sure,,We are a low income family and struggling to manage our bills. If we had spare money would be willing to pay,Very sure,Yes,Quite sure,20,,No,Question skipped,,,Option A,,No great impact  at no extra cost,2,50%,90%,£1,4,5%,10%,£1,3,10%,90%,£5,2,50%,10%,£2.50,Option B,Option B,Option A,Option A,Quite sure,3,3,4,Some of it,Chosen,Chosen,Chosen,Chosen,Not chosen,,No,Average knowledge,Yes,4,A level or college equivalent,Full-time employment,No,Prefer not to say,9,Chosen,No further comments
456,1009,1,Yes,Male,26-39,50+ miles,03-May,Good knowledge,90,100,Yes,Very sure,,,Question skipped,Yes,Quite sure,200,,Yes,Question skipped,,,Option B,,It deserve for getting cost increase for that product. that is external factor of economics for product that should be paid particularly for environmental impact derived from that product,2,50%,90%,£1,3,5%,40%,£0.50,3,10%,90%,£5,3,10%,40%,£1,Option B,Option B,Option B,Option B,Very sure,5 – Completely agree,5 – Completely agree,5 – Completely agree,None of it,Chosen,Chosen,Chosen,Not chosen,Not chosen,,No,Good knowledge,Yes,5 – Very confident,Postgraduate degree,Full-time employment,Yes,£1501-£2000,8,,"In the future, please give us the several options that most proper to choose. i.e. A (without implementation); B (5%, 40%, 5 GBP); C (10, 60, 10 GBP)."
457,946,1,Yes,Female,40-55,50+ miles,6+,Strong knowledge,20,10,No,Very sure,,I ALREADY PAY MORE THAN ENOUGH.,Very sure,No,Very sure,,5,Question skipped,No,,THE ADDITIONAL COST SHOULD NOT FALL TO THE CONSUMER.,Option A,,PREFER NO COST OPTION.,4,10%,10%,£2.50,3,5%,40%,£0.50,3,10%,90%,£5,1,50%,10%,£0.50,Option A,Option A,Option A,Option A,Very sure,3,4,3,Some of it,Chosen,Chosen,Chosen,Chosen,Not chosen,,Yes,Average knowledge,Yes,2,Bachelor’s degree,Full-time employment,Yes,£5001+,10 - Perfectly clear,,GREAT SURVEY.
458,339,1,Yes,Female,26-39,Don’t know,0,Average knowledge,100,100,No,Quite sure,,do not earn enough to spend freely,Quite sure,No,Quite sure,,50,Question skipped,No,,"especially now, would rather save as much as possible",Option B,,huge reduction at a low cost,2,50%,90%,£1,4,5%,10%,£1,2,5%,10%,£1,1,50%,10%,£0.50,Option A,Option A,Option A,Option A,Quite sure,3,4,4,None of it,Chosen,Chosen,Chosen,Chosen,Not chosen,,No,Little knowledge,Don’t know,3,A level or college equivalent,Part-time employment,Yes,£501-£1000,8,Chosen,No further comments
459,393,1,Yes,Female,18-25,50+ miles,6+,Good knowledge,10,90,Yes,Unsure,,,Question skipped,Yes,Quite sure,180,,No,Question skipped,,,Option B,,i believe it would be more effective,2,50%,90%,£1,2,5%,40%,£2.50,4,5%,90%,£0.50,4,5%,10%,£5,Option B,Option B,Option B,Option B,Quite sure,4,4,4,Some of it,Not chosen,Chosen,Not chosen,Chosen,Not chosen,,Yes,Average knowledge,Don’t know,3,Postgraduate degree,Student,No,£1501-£2000,7,Chosen,No further comments
461,860,2,Yes,Male,40-55,21-49 miles,6+,Good knowledge,10,100,Yes,Very sure,,,Question skipped,No,Very sure,,50,Question skipped,No,,its so very costly to us at the minute,Option A,,no added value so no added cost,2,50%,90%,£1,3,5%,40%,£0.50,2,5%,10%,£1,3,10%,40%,£1,Option B,Option B,Option B,Option B,Quite sure,4,4,4,Some of it,Chosen,Chosen,Chosen,Not chosen,Not chosen,,No,Strong knowledge,Yes,3,Postgraduate degree,Full-time employment,Yes,£2501-£3000,10 - Perfectly clear,Chosen,No further comments
464,925,2,Yes,Male,40-55,11-20 miles,6+,Little knowledge,60,80,No,Quite sure,,"I didn't say I was unwilling to pay anything more, just not £60 a year. If there is a potential health effect that needs to be identified and quantified, it should be funded by the central government and dealt with in that manner.",Very sure,No,Very sure,,40,Question skipped,No,,"If this is deemed an issue, the necessary upgrades should be funded by the commercial organisations that are supplying the water. If British Airways, need new planes, they don't ask their customers to fund it, they invest in the necessary infrastructure.",Option A,,Price rise is too high,1,50%,40%,£5,1,10%,10%,£0.50,2,5%,10%,£1,2,50%,10%,£2.50,Option A,Option A,Option A,Option A,Very sure,3,3,3,None of it,Not chosen,Not chosen,Not chosen,Not chosen,Chosen,No one until it is proved to be damaging to the environment,Yes,Little knowledge,Don’t know,1 – Very unconfident,Postgraduate degree,Retired,No,£3001-£4000,7,Chosen,No further comments
465,560,2,Yes,Female,40-55,21-49 miles,01-Feb,Good knowledge,100,80,No,Very sure,,I can't afford it right now.,Very sure,No,Very sure,,40,Question skipped,No,,We are in lockdown and have very limited income.,Option A,,90% reduction in performance is unacceptable.,3,5%,10%,£5,1,10%,10%,£0.50,3,10%,90%,£5,2,50%,10%,£2.50,Option A,Option B,Option A,Option A,Very sure,2,3,4,Some of it,Chosen,Chosen,Chosen,Chosen,Not chosen,,No,Good knowledge,Don’t know,4,Bachelor’s degree,"Not in education, employment or training",Yes,£5001+,9,Chosen,No further comments
466,701,2,Yes,Male,40-55,3-10 miles,6+,Good knowledge,90,60,Yes,Very sure,,,Question skipped,Yes,Very sure,120,,Yes,Question skipped,,,Option B,,We have to make changes to save the planet.,1,50%,40%,£5,2,5%,40%,£2.50,3,10%,90%,£5,3,10%,40%,£1,Option B,Option B,Option B,Option B,Very sure,5 – Completely agree,5 – Completely agree,5 – Completely agree,All of it,Not chosen,Not chosen,Not chosen,Not chosen,Chosen,Everybody,Yes,Average knowledge,Don’t know,4,Bachelor’s degree,Full-time employment,Yes,£3001-£4000,10 - Perfectly clear,Chosen,No further comments
467,885,1,Yes,Male,26-39,50+ miles,03-May,Good knowledge,80,40,No,Very sure,,why would anyone want to pay extra?,Very sure,No,Very sure,,20,Question skipped,No,,why would anyone want to pay anything extra?,Option A,Chosen,Don't know,2,50%,90%,£1,3,5%,40%,£0.50,2,5%,10%,£1,4,5%,10%,£5,Option A,Option A,Option A,Option A,Very sure,5 – Completely agree,5 – Completely agree,5 – Completely agree,None of it,Chosen,Chosen,Not chosen,Not chosen,Not chosen,,Yes,Good knowledge,Don’t know,3,Postgraduate degree,Full-time employment,Yes,£2501-£3000,10 - Perfectly clear,Chosen,No further comments
472,212,2,Yes,Female,26-39,21-49 miles,6+,Average knowledge,90,40,No,Very sure,,We are happy with our current rates,Very sure,Yes,Very sure,80,,Yes,Question skipped,,,Option B,,Much more positive,2,50%,90%,£1,2,5%,40%,£2.50,3,10%,90%,£5,2,50%,10%,£2.50,Option B,Option B,Option B,Option B,Very sure,5 – Completely agree,5 – Completely agree,5 – Completely agree,Some of it,Chosen,Chosen,Not chosen,Not chosen,Not chosen,,Yes,Good knowledge,Yes,5 – Very confident,A level or college equivalent,Full-time employment,Yes,£1501-£2000,10 - Perfectly clear,Chosen,No further comments
474,700,1,Yes,Female,18-25,0-2 miles,03-May,Average knowledge,90,80,No,Quite sure,,not enough income,Very sure,No,Unsure,,40,Question skipped,Yes,,,Option A,,I would want a better performance,1,50%,40%,£5,2,5%,40%,£2.50,3,10%,90%,£5,3,10%,40%,£1,Option A,Option B,Option B,Option B,Very sure,5 – Completely agree,5 – Completely agree,5 – Completely agree,None of it,Chosen,Chosen,Chosen,Chosen,Not chosen,,No,Average knowledge,Don’t know,3,A level or college equivalent,"Not in education, employment or training",Yes,£0-£500,6,Not chosen,
475,1086,2,Yes,Male,40-55,50+ miles,01-Feb,Little knowledge,80,20,No,Very sure,,I would be willing to pay more but not £80 as my water bill is only 250 so a more proportional amount say 10% would be ok,Very sure,Yes,Very sure,40,,Yes,Question skipped,,,Option A,,No change in environment impact,3,5%,10%,£5,3,5%,40%,£0.50,1,5%,90%,£2.50,3,10%,40%,£1,Option A,Option B,Option B,Option B,Quite sure,3,4,3,All of it,Chosen,Chosen,Chosen,Not chosen,Not chosen,,No,Average knowledge,Yes,4,Bachelor’s degree,Prefer not to say,No,£2501-£3000,7,Chosen,No further comments
476,475,1,Yes,Female,40-55,11-20 miles,01-Feb,Average knowledge,80,100,No,Quite sure,,"Water Rates are high enough, it is already a struggle to live.",Quite sure,No,Quite sure,,50,Question skipped,No,,"Water Rates are high enough, it is already a struggle to live.",Option A,,Its Cheaper Option,2,50%,90%,£1,2,5%,40%,£2.50,4,5%,90%,£0.50,1,50%,10%,£0.50,Option A,Option A,Option A,Option A,Quite sure,2,2,3,Some of it,Chosen,Not chosen,Not chosen,Not chosen,Not chosen,,No,Average knowledge,Don’t know,3,Bachelor’s degree,Self-employed,Yes,£1001-£1500,7,Chosen,No further comments
477,531,1,Yes,Male,56-70,50+ miles,01-Feb,Little knowledge,80,80,No,Very sure,,Don't think its my responsibility,Quite sure,Yes,Quite sure,160,,No,Question skipped,,,Option A,Chosen,Don't know,4,10%,10%,£2.50,3,5%,40%,£0.50,3,10%,90%,£5,2,50%,10%,£2.50,Option B,Option B,Option B,Option A,Quite sure,3,4,5 – Completely agree,None of it,Chosen,Chosen,Chosen,Not chosen,Not chosen,,No,Little knowledge,Don’t know,3,Bachelor’s degree,Retired,No,£1001-£1500,9,Chosen,No further comments
478,209,2,Yes,Male,40-55,50+ miles,6+,Little knowledge,100,80,Yes,Very sure,,,Question skipped,Yes,Very sure,160,,Yes,Question skipped,,,Option B,Chosen,Don't know,4,10%,10%,£2.50,3,5%,40%,£0.50,4,5%,90%,£0.50,3,10%,40%,£1,Option B,Option B,Option B,Option B,Quite sure,4,4,4,None of it,Chosen,Chosen,Chosen,Chosen,Not chosen,,No,Little knowledge,Yes,4,Bachelor’s degree,Full-time employment,Yes,£2501-£3000,9,Chosen,No further comments
479,337,2,Yes,Male,40-55,50+ miles,01-Feb,Little knowledge,60,90,No,Quite sure,,the government should pay,Quite sure,No,Quite sure,,45,Question skipped,No,,the government should pay,Option A,,manufacturer should absorb the cost,1,50%,40%,£5,3,5%,40%,£0.50,3,10%,90%,£5,4,5%,10%,£5,Option A,Option B,Option A,Option A,Quite sure,3,3,3,None of it,Chosen,Not chosen,Chosen,Chosen,Not chosen,,No,Little knowledge,Yes,3,Postgraduate degree,Full-time employment,No,£2001-£2500,8,Chosen,No further comments
480,461,2,Yes,Female,26-39,Don’t know,0,Little knowledge,60,20,No,Very sure,,Dont see why i have to pay for water in the 1st place,Very sure,No,Very sure,,10,Question skipped,No,,Water shoukd be free,Option A,,I dont no,3,5%,10%,£5,4,5%,10%,£1,2,5%,10%,£1,4,5%,10%,£5,Option B,Option B,Option B,Option B,Quite sure,4,4,5 – Completely agree,All of it,Not chosen,Chosen,Chosen,Chosen,Not chosen,,No,Little knowledge,Yes,4,GCSE’s / O levels,"Not in education, employment or training",No,£501-£1000,5,Not chosen,
481,162,2,Yes,Female,18-25,11-20 miles,03-May,Good knowledge,40,100,Yes,Very sure,,,Question skipped,Yes,Very sure,200,,Yes,Question skipped,,,Option B,,Cuz I'm a nice person I know you are u tired and need a bit more than you have to be together and you have fucked me up like recent years and I dont want him out there and then I was gonna be mad when you did it all makes me leave the house and you will get a gf to do it either way I look in the middle and I dont know if I dont know if u dont know what to say I am,4,10%,10%,£2.50,3,5%,40%,£0.50,1,5%,90%,£2.50,2,50%,10%,£2.50,Option A,Option A,Option A,Option B,Very sure,3,3,2,None of it,Not chosen,Not chosen,Chosen,Not chosen,Not chosen,,Yes,Little knowledge,No,3,Bachelor’s degree,Part-time employment,Yes,£3001-£4000,7,,No u cant do you think she was talking about something like this in the middle child of a conversation with the friends of a relationship with the friends of her tiktoks and the cloud that was the only one that she blocked me and I was gonna say
482,433,1,Yes,Female,40-55,50+ miles,03-May,Little knowledge,40,20,No,Very sure,Chosen,Don't know,Very sure,No,Quite sure,,10,Question skipped,Yes,,,Option A,Chosen,Don't know,3,5%,10%,£5,4,5%,10%,£1,3,10%,90%,£5,3,10%,40%,£1,Option A,Option A,Option A,Option A,Quite sure,3,4,4,Some of it,Chosen,Chosen,Chosen,Chosen,Not chosen,,No,Average knowledge,Don’t know,4,GCSE’s / O levels,Part-time employment,Prefer not to say,Prefer not to say,8,Chosen,No further comments
483,234,1,Yes,Female,18-25,11-20 miles,0,Good knowledge,60,90,No,Quite sure,,Too many bills,Unsure,Yes,Quite sure,180,,No,Question skipped,,,Option B,,Easier choice which is more worth it,1,50%,40%,£5,4,5%,10%,£1,2,5%,10%,£1,2,50%,10%,£2.50,Option A,Option B,Option B,Option B,Quite sure,3,3,4,Some of it,Chosen,Chosen,Chosen,Not chosen,Not chosen,,Yes,Average knowledge,No,3,A level or college equivalent,Student,No,£1001-£1500,10 - Perfectly clear,,None
484,173,1,Yes,Female,56-70,21-49 miles,01-Feb,Little knowledge,60,5,Yes,Very sure,,,Question skipped,No,Unsure,,2,Question skipped,Yes,,,Option B,,better price,3,5%,10%,£5,3,5%,40%,£0.50,3,10%,90%,£5,3,10%,40%,£1,Option A,Option A,Option A,Option A,Quite sure,5 – Completely agree,5 – Completely agree,5 – Completely agree,None of it,Not chosen,Chosen,Not chosen,Not chosen,Not chosen,,Yes,Good knowledge,Yes,5 – Very confident,Postgraduate degree,Part-time employment,Yes,£2001-£2500,9,,everything fine
485,177,2,Yes,Male,40-55,11-20 miles,01-Feb,Little knowledge,80,10,Yes,Very sure,,,Question skipped,Yes,Very sure,20,,Yes,Question skipped,,,Option A,,Better bff gvg,1,50%,40%,£5,3,5%,40%,£0.50,4,5%,90%,£0.50,1,50%,10%,£0.50,Option B,Option B,Option B,Option B,Very sure,4,3,2,All of it,Not chosen,Chosen,Not chosen,Not chosen,Not chosen,,Yes,No knowledge,Yes,3,Bachelor’s degree,Part-time employment,Yes,£0-£500,4,,Bernard by gcg
486,143,2,Yes,Male,18-25,11-20 miles,03-May,Strong knowledge,20,20,Yes,Very sure,,,Question skipped,Yes,Very sure,40,,Yes,Question skipped,,,Option A,,Very good service,2,50%,90%,£1,3,5%,40%,£0.50,3,10%,90%,£5,3,10%,40%,£1,Option B,Option A,Option A,Option A,Very sure,5 – Completely agree,5 – Completely agree,5 – Completely agree,All of it,Chosen,Not chosen,Not chosen,Not chosen,Not chosen,,Yes,Strong knowledge,Yes,5 – Very confident,Postgraduate degree,Full-time employment,Yes,£2001-£2500,10 - Perfectly clear,,Rey good
488,384,1,Yes,Male,26-39,11-20 miles,01-Feb,Good knowledge,20,10,No,Quite sure,,I don't see the need to pay extra,Quite sure,Yes,Quite sure,20,,No,Question skipped,,,Option A,,no increased price,2,50%,90%,£1,2,5%,40%,£2.50,2,5%,10%,£1,2,50%,10%,£2.50,Option B,Option A,Option A,Option A,Quite sure,4,3,3,Some of it,Not chosen,Not chosen,Chosen,Chosen,Not chosen,,No,Little knowledge,No,3,Postgraduate degree,Full-time employment,No,£1501-£2000,6,Chosen,No further comments
489,186,1,Yes,Female,40-55,21-49 miles,01-Feb,Little knowledge,80,100,Yes,Quite sure,,,Question skipped,Yes,Very sure,200,,Yes,Question skipped,,,Option A,Chosen,Don't know,3,5%,10%,£5,2,5%,40%,£2.50,4,5%,90%,£0.50,3,10%,40%,£1,Option A,Option A,Option A,Option A,Quite sure,5 – Completely agree,5 – Completely agree,5 – Completely agree,Some of it,Not chosen,Not chosen,Chosen,Not chosen,Not chosen,,Yes,Little knowledge,Yes,4,GCSE’s / O levels,Full-time employment,Yes,£2501-£3000,9,Chosen,No further comments
490,869,1,Yes,Female,26-39,21-49 miles,6+,Strong knowledge,90,10,Yes,Very sure,,,Question skipped,Yes,Very sure,20,,Yes,Question skipped,,,Option A,,BECAUSE IT IS REALLY INTERESTING AND HEALTHY,4,10%,10%,£2.50,2,5%,40%,£2.50,3,10%,90%,£5,2,50%,10%,£2.50,Option A,Option A,Option B,Option B,Very sure,5 – Completely agree,5 – Completely agree,5 – Completely agree,All of it,Chosen,Chosen,Not chosen,Not chosen,Not chosen,,Yes,Strong knowledge,Yes,5 – Very confident,Bachelor’s degree,Full-time employment,Yes,£4001-£5000,10 - Perfectly clear,,INTERESTING THANK YOU
492,252,2,Yes,Male,26-39,11-20 miles,01-Feb,Little knowledge,80,10,Yes,Very sure,,,Question skipped,Yes,Quite sure,20,,No,Question skipped,,,Option B,,ITS THE BEST OPTION,2,50%,90%,£1,3,5%,40%,£0.50,3,10%,90%,£5,4,5%,10%,£5,Option B,Option B,Option B,Option B,Quite sure,3,3,4,Some of it,Not chosen,Chosen,Not chosen,Not chosen,Not chosen,,No,Little knowledge,No,2,Bachelor’s degree,Full-time employment,Yes,£1501-£2000,8,Chosen,No further comments
493,274,1,Yes,Male,18-25,3-10 miles,01-Feb,Little knowledge,100,5,Yes,Quite sure,,,Question skipped,Yes,Quite sure,10,,No,Question skipped,,,Option A,Chosen,Don't know,4,10%,10%,£2.50,2,5%,40%,£2.50,3,10%,90%,£5,1,50%,10%,£0.50,Option B,Option A,Option B,Option A,Quite sure,3,4,3,None of it,Not chosen,Chosen,Chosen,Not chosen,Not chosen,,Yes,Little knowledge,Yes,2,A level or college equivalent,Part-time employment,Yes,£2001-£2500,7,Chosen,No further comments
494,477,1,Yes,Female,56-70,3-10 miles,6+,No knowledge,10,5,No,Very sure,,Can't afford it,Very sure,No,Very sure,,2,Question skipped,No,,"Because i can't afford it , water costs enough anyway .",Option A,,Cant afford it,2,50%,90%,£1,1,10%,10%,£0.50,1,5%,90%,£2.50,1,50%,10%,£0.50,Option A,Option A,Option A,Option A,Very sure,3,3,3,None of it,Chosen,Not chosen,Chosen,Not chosen,Not chosen,,No,No knowledge,Don’t know,3,GCSE’s / O levels,"Not in education, employment or training",No,£0-£500,8,Chosen,No further comments
495,1443,1,Yes,Male,40-55,50+ miles,03-May,Little knowledge,5,5,Yes,Very sure,,,Question skipped,Yes,Very sure,10,,No,Question skipped,,,Option A,,I understand that we need to reduce but their has to be a medium. It is a big price rise.,1,50%,40%,£5,4,5%,10%,£1,4,5%,90%,£0.50,3,10%,40%,£1,Option B,Option A,Option B,Option B,Quite sure,4,3,3,None of it,Chosen,Chosen,Chosen,Not chosen,Not chosen,,No,Average knowledge,Yes,3,A level or college equivalent,Full-time employment,No,£1001-£1500,10 - Perfectly clear,Chosen,No further comments
496,386,2,Yes,Male,40-55,21-49 miles,01-Feb,Average knowledge,100,100,No,Very sure,Chosen,Don't know,Quite sure,No,Quite sure,,50,Question skipped,No,Chosen,Don't know,Option A,Chosen,Don't know,3,5%,10%,£5,1,10%,10%,£0.50,2,5%,10%,£1,1,50%,10%,£0.50,Option A,Option A,Option A,Option A,Quite sure,3,3,3,Some of it,Not chosen,Chosen,Chosen,Not chosen,Not chosen,,No,Average knowledge,Don’t know,3,GCSE’s / O levels,Full-time employment,No,£4001-£5000,10 - Perfectly clear,Chosen,No further comments
497,180,2,Yes,Male,26-39,50+ miles,01-Feb,Little knowledge,5,80,No,Quite sure,Chosen,Don't know,Quite sure,No,Very sure,,40,Question skipped,No,Chosen,Don't know,Option A,Chosen,Don't know,1,50%,40%,£5,1,10%,10%,£0.50,2,5%,10%,£1,3,10%,40%,£1,Option A,Option A,Option A,Option A,Unsure,3,2,4,None of it,Not chosen,Not chosen,Chosen,Not chosen,Not chosen,,Prefer not to say,Little knowledge,No,2,Bachelor’s degree,Full-time employment,Prefer not to say,£2001-£2500,6,Chosen,No further comments
